Title,User_id,Score
Hidden History of the Kovno Ghetto,A10VOEBL5S337W,4.0
The Food Of Love,A10Y3OZWENAQ6W,3.0
The Scarlet Letter A Romance,A100V1W0C8BWOL,4.0
The Scarlet Letter A Romance,A107I3EOYE62A,4.0
Stuck with You (Time of Your Life),A106E1N0ZQ4D9W,4.0
Lenin's Tomb: The Last Days of the Soviet Empire,A100NGGXRQF0AQ,5.0
The Forsythe Saga,A106016KSI0YQ,5.0
Learning To Bow - Inside The Heart Of Japan,A10LWBOIZCF2QT,4.0
The Dharma Bums,A10B4UOL0IB274,5.0
The Dharma Bums,A10B4UOL0IB274,5.0
The Dharma Bums,A10B4UOL0IB274,5.0
The Dharma Bums,A10B4UOL0IB274,5.0
The Dharma Bums,A10B4UOL0IB274,5.0
The Dharma Bums,A10B4UOL0IB274,5.0
The Dharma Bums,A10B4UOL0IB274,5.0
Foundation,A10KKJMBY5L7TK,5.0
Sole Survivor: Children Who Kill Their Families,A10VOEBL5S337W,4.0
We shall not forgive!: The horrors of the German invasion in documents and photographs,A10VOEBL5S337W,4.0
Romola; (Her Works),A10JF6T7DY6Z8Z,5.0
COCKTAILS FOR THREE,A10J604M0KKBAS,3.0
Foundation,A10KKJMBY5L7TK,5.0
The Quick and Easy Way to Effective Speaking (Revision of Public Speaking and Influencing Men in Business by Dale Carnegie),A10KKJMBY5L7TK,4.0
Helter Skelter,A10ATY8QTZ37ND,5.0
Small Gods,A10BZSGALQPS0V,4.0
L'Alchimiste (Coffragants) (French Edition),A10R81SKUK3TG6,5.0
"Man of La Mancha;: A musical play,",A10TG7PJTDO4F4,2.0
Badenheim 1939,A10URBQ3W2KW65,4.0
Herland,A101DG7P9E26PW,4.0
Fahrenheit 451,A101DG7P9E26PW,5.0
Romola,A10JF6T7DY6Z8Z,5.0
Crewel Lye (A Caustic Yarn),A10KKJMBY5L7TK,3.0
"Space Cadet (Ace SF, 77731)",A10HUD3X4V3OM4,3.0
Getting Rid Of Bradley (Harlequin Temptation #480),A106E1N0ZQ4D9W,2.0
The Daughter of Time,A10URBQ3W2KW65,4.0
Of Mice and Men (Penguin Audiobooks),A106HD4S643MHK,5.0
Lord of Light,A10KKJMBY5L7TK,5.0
Twenty Thousand Leagues Under the Sea (Caxton Edition),A01038432MVI9JXYTTK5T,5.0
The Other,A106016KSI0YQ,4.0
Horn of the Hunter: The Story of an African Safari,A10Q8NIFOVOHFV,4.0
That's Just Your Interpretation: Responding to Skeptics Who Challenge Your Faith,A10T0OW97SFBB,1.0
Irina's Story,A10HWJXUG67E7I,5.0
The Four Agreements Companion Book : Using the Four Agreements to Master the Dream of Your Life,A10Y5RD8QNMHEZ,4.0
